code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,TMA1,TMA2,TMA3,TMA4,TMA5,TMA6,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_minus_4_homepage,week_minus_4_resource,week_minus_4_subpage,week_minus_4_oucontent,week_minus_4_url,week_minus_4_glossary,week_minus_3_homepage,week_minus_3_oucontent,week_minus_3_resource,week_minus_3_subpage,week_minus_3_url,week_minus_3_externalquiz,week_minus_3_glossary,week_minus_3_forumng,week_minus_3_oucollaborate,week_minus_3_ouwiki,week_minus_2_forumng,week_minus_2_homepage,week_minus_2_subpage,week_minus_2_url,week_minus_2_externalquiz,week_minus_2_oucontent,week_minus_2_oucollaborate,week_minus_2_resource,week_minus_2_ouwiki,week_minus_2_glossary,week_minus_1_forumng,week_minus_1_homepage,week_minus_1_oucollaborate,week_minus_1_oucontent,week_minus_1_subpage,week_minus_1_url,week_minus_1_resource,week_minus_1_externalquiz,week_minus_1_ouwiki,week_minus_1_glossary,week_0_externalquiz,week_0_forumng,week_0_homepage,week_0_oucollaborate,week_0_oucontent,week_0_ouwiki,week_0_resource,week_0_subpage,week_0_url,week_0_glossary,week_1_forumng,week_1_homepage,week_1_oucollaborate,week_1_oucontent,week_1_resource,week_1_subpage,week_1_url,week_1_externalquiz,week_1_ouwiki,week_1_glossary,week_2_homepage,week_2_oucontent,week_2_url,week_2_forumng,week_2_resource,week_2_subpage,week_2_externalquiz,week_2_ouwiki,week_2_oucollaborate,week_2_glossary,week_3_externalquiz,week_3_homepage,week_3_oucontent,week_3_resource,week_3_subpage,week_3_url,week_3_forumng,week_3_ouwiki,week_3_glossary,week_3_oucollaborate,week_4_externalquiz,week_4_homepage,week_4_oucontent,week_4_resource,week_4_subpage,week_4_url,week_4_forumng,week_4_ouwiki,week_4_glossary,week_4_oucollaborate,week_5_homepage,week_5_oucollaborate,week_5_oucontent,week_5_resource,week_5_subpage,week_5_url,week_5_forumng,week_5_ouwiki,week_5_externalquiz,week_5_glossary,week_6_forumng,week_6_homepage,week_6_oucollaborate,week_6_oucontent,week_6_ouwiki,week_6_subpage,week_6_resource,week_6_url,week_6_externalquiz,week_6_glossary,week_7_homepage,week_7_oucontent,week_7_resource,week_7_subpage,week_7_forumng,week_7_oucollaborate,week_7_url,week_7_ouwiki,week_7_externalquiz,week_7_glossary,week_8_homepage,week_8_subpage,week_8_forumng,week_8_oucontent,week_8_ouwiki,week_8_resource,week_8_url,week_8_externalquiz,week_8_glossary,week_8_oucollaborate,week_9_homepage,week_9_forumng,week_9_oucontent,week_9_url,week_9_externalquiz,week_9_subpage,week_9_resource,week_9_oucollaborate,week_9_glossary,week_9_ouwiki,week_10_externalquiz,week_10_homepage,week_10_oucontent,week_10_resource,week_10_subpage,week_10_url,week_10_forumng,week_10_oucollaborate,week_10_glossary,week_10_ouwiki,week_11_homepage,week_11_resource,week_11_subpage,week_11_forumng,week_11_oucontent,week_11_url,week_11_externalquiz,week_11_oucollaborate,week_11_ouwiki,week_11_glossary,week_12_externalquiz,week_12_homepage,week_12_oucontent,week_12_resource,week_12_subpage,week_12_url,week_12_forumng,week_12_oucollaborate,week_12_glossary,week_12_ouwiki,week_13_forumng,week_13_homepage,week_13_resource,week_13_subpage,week_13_url,week_13_oucontent,week_13_externalquiz,week_13_oucollaborate,week_13_ouwiki,week_13_glossary,week_14_homepage,week_14_oucontent,week_14_resource,week_14_forumng,week_14_subpage,week_14_url,week_14_externalquiz,week_14_oucollaborate,week_14_ouwiki,week_14_glossary,week_15_homepage,week_15_resource,week_15_subpage,week_15_forumng,week_15_oucontent,week_15_url,week_15_ouwiki,week_15_oucollaborate,week_15_externalquiz,week_15_glossary,week_16_homepage,week_16_subpage,week_16_url,week_16_forumng,week_16_oucollaborate,week_16_resource,week_16_oucontent,week_16_externalquiz,week_16_ouwiki,week_16_glossary,week_17_homepage,week_17_forumng,week_17_subpage,week_17_url,week_17_oucontent,week_17_resource,week_17_ouwiki,week_17_externalquiz,week_17_oucollaborate,week_17_glossary,week_18_homepage,week_18_oucontent,week_18_resource,week_18_subpage,week_18_forumng,week_18_glossary,week_18_ouwiki,week_18_url,week_18_externalquiz,week_18_oucollaborate,week_19_forumng,week_19_homepage,week_19_subpage,week_19_glossary,week_19_oucontent,week_19_ouwiki,week_19_resource,week_19_url,week_19_externalquiz,week_19_oucollaborate,week_20_homepage,week_20_oucontent,week_20_resource,week_20_forumng,week_20_ouwiki,week_20_subpage,week_20_url,week_20_externalquiz,week_20_glossary,week_20_oucollaborate,week_21_homepage,week_21_forumng,week_21_ouwiki,week_21_resource,week_21_subpage,week_21_externalquiz,week_21_oucontent,week_21_url,week_21_glossary,week_21_oucollaborate,week_22_forumng,week_22_homepage,week_22_ouwiki,week_22_resource,week_22_subpage,week_22_url,week_22_oucontent,week_22_oucollaborate,week_22_externalquiz,week_22_glossary,week_23_forumng,week_23_homepage,week_23_resource,week_23_subpage,week_23_ouwiki,week_23_oucontent,week_23_url,week_23_externalquiz,week_23_oucollaborate,week_23_glossary,week_24_homepage,week_24_oucontent,week_24_subpage,week_24_forumng,week_24_externalquiz,week_24_resource,week_24_url,week_24_ouwiki,week_24_glossary,week_24_oucollaborate,week_25_homepage,week_25_oucontent,week_25_subpage,week_25_url,week_25_forumng,week_25_resource,week_25_glossary,week_25_ouwiki,week_25_oucollaborate,week_25_externalquiz,week_26_homepage,week_26_forumng,week_26_resource,week_26_subpage,week_26_url,week_26_externalquiz,week_26_oucontent,week_26_ouwiki,week_26_glossary,week_26_oucollaborate,week_27_homepage,week_27_resource,week_27_subpage,week_27_oucontent,week_27_forumng,week_27_url,week_27_externalquiz,week_27_ouwiki,week_27_oucollaborate,week_27_glossary,week_28_homepage,week_28_oucontent,week_28_resource,week_28_subpage,week_28_forumng,week_28_url,week_28_oucollaborate,week_28_externalquiz,week_28_ouwiki,week_28_glossary,week_29_homepage,week_29_resource,week_29_subpage,week_29_url,week_29_oucontent,week_29_forumng,week_29_externalquiz,week_29_oucollaborate,week_29_ouwiki,week_29_glossary,week_30_homepage,week_30_resource,week_30_subpage,week_30_forumng,week_30_externalquiz,week_30_oucollaborate,week_30_url,week_30_oucontent,week_30_glossary,week_30_ouwiki,week_31_homepage,week_31_resource,week_31_subpage,week_31_externalquiz,week_31_forumng,week_31_url,week_31_oucollaborate,week_31_oucontent,week_31_glossary,week_31_ouwiki,week_32_externalquiz,week_32_forumng,week_32_homepage,week_32_resource,week_32_subpage,week_32_oucollaborate,week_32_url,week_32_glossary,week_32_oucontent,week_32_ouwiki,week_33_externalquiz,week_33_homepage,week_33_subpage,week_33_forumng,week_33_oucontent,week_33_resource,week_33_oucollaborate,week_33_url,week_33_ouwiki,week_33_glossary,week_34_homepage,week_34_oucollaborate,week_34_resource,week_34_subpage,week_34_forumng,week_34_url,week_34_externalquiz,week_34_oucontent,week_34_ouwiki,week_34_glossary,week_35_forumng,week_35_homepage,week_35_url,week_35_resource,week_35_subpage,week_35_oucontent,week_35_externalquiz,week_35_oucollaborate,week_35_glossary,week_36_homepage,week_36_forumng,week_36_subpage,week_36_url,week_36_externalquiz,week_36_resource,week_36_oucontent,week_36_oucollaborate,week_36_ouwiki,week_36_glossary,week_37_homepage,week_37_resource,week_37_subpage,week_37_forumng,week_37_url,week_37_externalquiz,week_37_oucontent,week_37_ouwiki,week_37_oucollaborate
DDD,2013J,27935,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,TRUE,Fail,75,73,90,63,0,0,0,45,0,19,91,47,25,86,67,47,108,64,0,2,0,0,47,20,16,6,39,37,26,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,2,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,4,1,0,0,0,0,2,21,20,0,15,16,2,15,0,0,17,14,0,3,0,11,0,1,1,0,6,0,1,2,1,15,0,0,0,0,0,19,0,4,21,4,25,13,0,0,0,24,7,3,18,3,8,4,0,0,22,0,2,4,11,1,7,0,0,0,19,37,2,7,4,29,10,0,0,0,25,11,3,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,6,14,1,0,0,0,0,0,5,1,12,2,0,0,0,0,0,3,0,0,7,5,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,12,19,8,0,0,0,0,0,0,0,10,9,14,4,0,0,0,0,0,0,13,5,5,3,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2013J,28046,F,Yorkshire Region,HE Qualification,10-20,35-55,0,70,FALSE,Fail,58,57,49,49,69,24,0,21,0,3,46,7,0,50,0,0,9,122,0,0,0,0,20,1,19,2,9,14,6,4,91,55,34,15,6,0,8,2,25,9,0,26,41,16,0,0,0,0,0,0,0,0,0,0,10,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,10,14,0,12,1,0,7,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,14,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,24,31,5,13,20,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,0,1,0,4,0,7,2,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,0,3,23,24,29,6,0,0,0,11,10,19,5,10,0,0,0,0,0,3,8,4,2,14,3,0,0,0,0,5,6,1,3,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,2,3,12,0,0,0,0,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,14,0,0,0,0,0,0,0,6,2,11,5,17,0,0,0,0,0,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2013J,29411,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,FALSE,Pass,75,79,93,58,86,66,0,22,25,14,1,21,5,46,18,12,0,51,21,7,0,3,6,25,10,9,15,0,33,6,153,22,3,29,21,1,0,0,6,37,23,65,2,129,0,0,0,0,0,0,0,0,0,0,5,0,16,0,1,0,0,0,0,0,0,12,2,4,1,6,0,0,0,0,0,1,0,10,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,9,2,3,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,11,5,0,21,3,5,0,1,0,0,6,0,0,1,0,9,2,0,0,3,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,13,1,0,19,0,0,10,4,5,0,0,1,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,8,6,5,1,0,5,0,0,0,0,2,0,3,5,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,6,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,15,2,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,33,2,2,57,47,11,1,0,0,0,6,11,0,0,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,14,9,0,0,6,0,0,0,0,0,11,3,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,10,2,19,5,1,0,0,0,0,0,3,13,7,0,0,0,0,0,0,0,13,6,23,5,13,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,19,64,2,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2013J,30549,M,South East Region,A Level or Equivalent,0-10%,35-55,2,60,FALSE,Fail,35,0,0,0,0,0,0,5,0,12,11,0,0,12,20,9,1,41,0,0,0,0,0,2,1,9,5,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,0,0,0,0,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,0,0,0,0,0,0,10,0,2,8,0,0,0,0,0,3,2,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,27,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,3,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2013J,31173,M,North Western Region,A Level or Equivalent,40-50%,35-55,1,60,FALSE,Fail,92,54,57,22,52,47,0,0,0,0,53,14,18,67,12,1,0,39,11,2,0,0,28,0,4,10,12,98,39,86,26,0,54,38,16,0,0,1,20,48,21,3,110,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,19,0,7,0,0,16,0,0,4,6,0,0,0,2,0,2,0,0,6,4,0,0,1,5,2,0,0,0,0,16,14,1,11,0,12,13,0,0,0,5,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,6,5,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,1,0,0,5,0,0,0,0,0,5,1,0,4,2,0,0,0,0,0,21,8,5,1,53,6,4,0,0,0,7,11,1,1,17,0,2,0,0,0,14,7,6,0,3,54,1,1,0,0,6,13,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,17,0,0,0,13,0,0,0,4,11,1,0,14,8,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,10,1,1,4,0,0,0,0,0,19,2,9,0,15,3,0,0,0,0,4,9,5,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,71,19,4,12,4,0,0,0,0,0,9,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2013J,33930,F,South West Region,A Level or Equivalent,20-30%,0-35,0,90,FALSE,Pass,78,83,88,86,86,0,0,12,0,52,44,13,40,16,18,6,0,38,0,7,3,0,1,1,6,3,7,9,1,120,11,1,1,42,6,7,2,7,1,16,0,0,38,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,25,1,3,2,0,0,0,2,14,11,1,0,0,4,12,0,0,3,6,0,0,0,0,0,0,4,0,17,4,1,5,2,9,2,0,0,0,0,6,2,0,1,0,7,0,0,0,1,8,0,0,5,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,5,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54,19,4,0,2,40,1,0,0,0,6,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,9,1,5,11,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,6,4,5,0,0,0,0,0,6,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2013J,34653,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,FALSE,Fail,0,50,62,35,0,0,0,23,46,0,0,4,4,0,7,4,0,68,8,3,0,0,9,18,1,0,13,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,10,0,2,0,0,0,0,7,8,4,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,13,27,14,0,2,3,0,0,1,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,0,0,0,4,2,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2013J,39411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,FALSE,Fail,70,0,0,0,0,0,0,1,16,0,35,14,18,52,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,1,0,0,0,5,2,0,11,3,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,1,18,19,0,5,0,9,0,0,0,0,3,11,0,7,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2013J,40184,M,Wales,HE Qualification,30-40%,55<=,0,60,FALSE,Pass,95,85,93,100,92,91,0,89,15,17,88,64,129,104,15,4,39,36,44,16,11,33,52,25,11,26,116,90,84,218,50,98,39,26,53,0,14,4,14,39,35,104,56,7,0,9,1,1,0,0,0,0,0,0,13,27,14,33,0,1,1,0,0,0,0,8,7,0,0,0,0,0,0,0,6,5,0,0,6,0,0,0,0,0,0,24,11,0,0,4,6,37,6,0,23,22,0,0,0,3,3,0,13,0,30,6,6,36,7,32,1,11,0,0,0,26,0,5,14,1,19,39,0,0,0,5,0,0,0,0,2,8,0,0,3,0,0,0,0,0,1,0,0,0,22,9,0,2,3,3,0,0,0,0,11,0,3,4,15,0,1,2,0,0,21,13,8,0,0,0,1,1,0,0,8,7,0,1,0,0,0,0,0,0,0,6,0,0,0,2,3,0,0,0,7,2,16,0,7,1,0,0,0,0,1,19,0,7,17,1,7,0,0,0,11,12,0,2,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,8,4,2,12,0,0,0,0,0,0,25,48,0,22,2,7,3,9,0,0,16,50,13,0,0,2,9,0,0,0,18,0,2,6,22,0,36,0,0,0,52,38,16,0,0,110,0,2,0,0,12,0,1,13,17,7,0,0,0,0,26,27,24,1,16,1,2,1,0,0,14,12,13,0,0,0,0,0,0,0,6,11,1,6,2,0,0,0,0,0,28,0,6,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,5,0,0,0,8,1,0,0,0,0,12,0,15,1,0,6,5,0,0,0,15,0,8,9,3,0,0,0,0,0,12,20,39,3,29,1,0,0,0,0,5,21,13,0,17,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DDD,2013J,40419,M,East Midlands Region,Lower Than A Level,20-30%,35-55,1,60,FALSE,Pass,82,71,86,68,53,72,0,0,9,0,0,0,4,43,24,0,2,73,1,0,0,0,34,0,55,17,0,43,23,0,22,0,0,95,0,0,0,1,31,18,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,30,2,0,0,0,6,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,37,11,5,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,31,10,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,16,2,4,5,0,0,0,0,5,3,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,1,12,25,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,5,1,9,9,0,0,0,0,0,3,3,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,14,18,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
